temperature,scan.name,data.type,scan.well,absorbance,wavelength,time,minutes
24.3,kinetic 412nm shake 4s,Kinetic,A2,0.7484,412,0:40,0.666666667
24.3,kinetic 412nm shake 4s,Kinetic,A2,0.7487,412,1:00,1
24.3,kinetic 412nm shake 4s,Kinetic,B1,0.5254,412,0:20,0.333333333
24.3,kinetic 412nm shake 4s,Kinetic,B1,0.5258,412,0:40,0.666666667
24.3,kinetic 412nm shake 4s,Kinetic,B1,0.5266,412,1:00,1
24.3,kinetic 412nm shake 4s,Kinetic,B2,0.7172,412,0:20,0.333333333
24.3,kinetic 412nm shake 4s,Kinetic,B2,0.7174,412,0:40,0.666666667
24.3,kinetic 412nm shake 4s,Kinetic,B2,0.7178,412,1:00,1
24.3,kinetic 412nm shake 4s,Kinetic,C1,0.7186,412,0:20,0.333333333
24.3,kinetic 412nm shake 4s,Kinetic,C1,0.7188,412,0:40,0.666666667
24.3,kinetic 412nm shake 4s,Kinetic,C1,0.7192,412,1:00,1
24.3,kinetic 412nm shake 4s,Kinetic,C2,0.6365,412,0:20,0.333333333
24.3,kinetic 412nm shake 4s,Kinetic,C2,0.6366,412,0:40,0.666666667
24.3,kinetic 412nm shake 4s,Kinetic,C2,0.6366,412,1:00,1
24.3,kinetic 412nm shake 4s,Kinetic,D1,1.1083,412,0:20,0.333333333
24.3,kinetic 412nm shake 4s,Kinetic,D1,1.1087,412,1:00,1
24.3,kinetic 412nm shake 4s,Kinetic,D1,1.1089,412,0:40,0.666666667
24.3,kinetic 412nm shake 4s,Kinetic,D2,0.6434,412,0:20,0.333333333
24.3,kinetic 412nm shake 4s,Kinetic,D2,0.6434,412,1:00,1
24.3,kinetic 412nm shake 4s,Kinetic,D2,0.6435,412,0:40,0.666666667
24.3,kinetic 412nm shake 4s,Kinetic,E1,0.8191,412,0:20,0.333333333
24.3,kinetic 412nm shake 4s,Kinetic,E1,0.8196,412,0:40,0.666666667
24.3,kinetic 412nm shake 4s,Kinetic,E1,0.8196,412,1:00,1
24.3,kinetic 412nm shake 4s,Kinetic,E2,1.0124,412,1:00,1
24.3,kinetic 412nm shake 4s,Kinetic,E2,1.0125,412,0:20,0.333333333
24.3,kinetic 412nm shake 4s,Kinetic,E2,1.0125,412,0:40,0.666666667
24.3,kinetic 412nm shake 4s,Kinetic,F1,0.6522,412,0:20,0.333333333
24.3,kinetic 412nm shake 4s,Kinetic,F1,0.6527,412,0:40,0.666666667
24.3,kinetic 412nm shake 4s,Kinetic,F1,0.6532,412,1:00,1
24.3,kinetic 412nm shake 4s,Kinetic,F2,0.6938,412,0:20,0.333333333
24.3,kinetic 412nm shake 4s,Kinetic,F2,0.6942,412,0:40,0.666666667
24.3,kinetic 412nm shake 4s,Kinetic,F2,0.6947,412,1:00,1
24.3,kinetic 412nm shake 4s,Kinetic,G1,0.5296,412,0:20,0.333333333
24.3,kinetic 412nm shake 4s,Kinetic,G1,0.5301,412,0:40,0.666666667
24.3,kinetic 412nm shake 4s,Kinetic,G1,0.5307,412,1:00,1
24.3,kinetic 412nm shake 4s,Kinetic,G2,0.6773,412,0:20,0.333333333
24.3,kinetic 412nm shake 4s,Kinetic,G2,0.6774,412,0:40,0.666666667
24.3,kinetic 412nm shake 4s,Kinetic,G2,0.6787,412,1:00,1
24.3,kinetic 412nm shake 4s,Kinetic,H1,0.5897,412,0:20,0.333333333
24.3,kinetic 412nm shake 4s,Kinetic,H1,0.59,412,0:40,0.666666667
24.3,kinetic 412nm shake 4s,Kinetic,H1,0.5902,412,1:00,1
24.3,kinetic 412nm shake 4s,Kinetic,H2,0.6929,412,0:20,0.333333333
24.3,kinetic 412nm shake 4s,Kinetic,H2,0.6934,412,0:40,0.666666667
24.3,kinetic 412nm shake 4s,Kinetic,H2,0.6937,412,1:00,1
24.4,spectrum 400-450 shake 5s,Spectrum,A1,1.1235,450,NA,NA
24.4,spectrum 400-450 shake 5s,Spectrum,A1,1.1452,440,NA,NA
24.4,spectrum 400-450 shake 5s,Spectrum,A1,1.1744,430,NA,NA
24.4,spectrum 400-450 shake 5s,Spectrum,A1,1.202,420,NA,NA
24.4,spectrum 400-450 shake 5s,Spectrum,A1,1.2438,410,NA,NA
24.4,spectrum 400-450 shake 5s,Spectrum,A1,1.3168,400,NA,NA
24.4,spectrum 400-450 shake 5s,Spectrum,A2,0.6869,450,NA,NA
24.4,spectrum 400-450 shake 5s,Spectrum,A2,0.6997,440,NA,NA
24.4,spectrum 400-450 shake 5s,Spectrum,A2,0.7172,430,NA,NA
24.4,spectrum 400-450 shake 5s,Spectrum,A2,0.731,420,NA,NA
24.4,spectrum 400-450 shake 5s,Spectrum,A2,0.7537,410,NA,NA
24.4,spectrum 400-450 shake 5s,Spectrum,A2,0.7781,400,NA,NA
24.4,spectrum 400-450 shake 5s,Spectrum,B1,0.4528,450,NA,NA
24.4,spectrum 400-450 shake 5s,Spectrum,B1,0.4609,440,NA,NA
24.4,spectrum 400-450 shake 5s,Spectrum,B1,0.4704,430,NA,NA
24.4,spectrum 400-450 shake 5s,Spectrum,B1,0.4779,420,NA,NA
24.4,spectrum 400-450 shake 5s,Spectrum,B1,0.4934,410,NA,NA
24.4,spectrum 400-450 shake 5s,Spectrum,B1,0.5538,400,NA,NA
24.4,spectrum 400-450 shake 5s,Spectrum,B2,0.6469,450,NA,NA
24.4,spectrum 400-450 shake 5s,Spectrum,B2,0.6605,440,NA,NA
24.4,spectrum 400-450 shake 5s,Spectrum,B2,0.6811,430,NA,NA
24.4,spectrum 400-450 shake 5s,Spectrum,B2,0.6992,420,NA,NA
24.4,spectrum 400-450 shake 5s,Spectrum,B2,0.7259,410,NA,NA
24.4,spectrum 400-450 shake 5s,Spectrum,B2,0.7549,400,NA,NA
24.4,spectrum 400-450 shake 5s,Spectrum,C1,0.6292,450,NA,NA
24.4,spectrum 400-450 shake 5s,Spectrum,C1,0.6411,440,NA,NA
24.4,spectrum 400-450 shake 5s,Spectrum,C1,0.6548,430,NA,NA
24.4,spectrum 400-450 shake 5s,Spectrum,C1,0.6675,420,NA,NA
24.4,spectrum 400-450 shake 5s,Spectrum,C1,0.6895,410,NA,NA
24.4,spectrum 400-450 shake 5s,Spectrum,C1,0.7552,400,NA,NA
24.4,spectrum 400-450 shake 5s,Spectrum,C2,0.5702,450,NA,NA
24.4,spectrum 400-450 shake 5s,Spectrum,C2,0.5843,440,NA,NA
24.4,spectrum 400-450 shake 5s,Spectrum,C2,0.6032,430,NA,NA
24.4,spectrum 400-450 shake 5s,Spectrum,C2,0.6182,420,NA,NA
24.4,spectrum 400-450 shake 5s,Spectrum,C2,0.641,410,NA,NA
24.4,spectrum 400-450 shake 5s,Spectrum,C2,0.6663,400,NA,NA
24.4,spectrum 400-450 shake 5s,Spectrum,D1,0.9771,450,NA,NA
24.4,spectrum 400-450 shake 5s,Spectrum,D1,1.0002,440,NA,NA
24.4,spectrum 400-450 shake 5s,Spectrum,D1,1.0372,430,NA,NA
24.4,spectrum 400-450 shake 5s,Spectrum,D1,1.0761,420,NA,NA
24.4,spectrum 400-450 shake 5s,Spectrum,D1,1.1334,410,NA,NA
24.4,spectrum 400-450 shake 5s,Spectrum,D1,1.1724,400,NA,NA
24.4,spectrum 400-450 shake 5s,Spectrum,D2,0.5756,450,NA,NA
24.4,spectrum 400-450 shake 5s,Spectrum,D2,0.5906,440,NA,NA
24.4,spectrum 400-450 shake 5s,Spectrum,D2,0.6093,430,NA,NA
24.4,spectrum 400-450 shake 5s,Spectrum,D2,0.6235,420,NA,NA
24.4,spectrum 400-450 shake 5s,Spectrum,D2,0.6478,410,NA,NA
24.4,spectrum 400-450 shake 5s,Spectrum,D2,0.6756,400,NA,NA
24.4,spectrum 400-450 shake 5s,Spectrum,E1,0.7804,450,NA,NA
24.4,spectrum 400-450 shake 5s,Spectrum,E1,0.7937,440,NA,NA
24.4,spectrum 400-450 shake 5s,Spectrum,E1,0.8111,430,NA,NA
24.4,spectrum 400-450 shake 5s,Spectrum,E1,0.8252,420,NA,NA
24.4,spectrum 400-450 shake 5s,Spectrum,E1,0.8382,400,NA,NA
24.4,spectrum 400-450 shake 5s,Spectrum,E1,0.8451,410,NA,NA
24.4,spectrum 400-450 shake 5s,Spectrum,E2,0.9489,450,NA,NA
24.4,spectrum 400-450 shake 5s,Spectrum,E2,0.962,440,NA,NA
24.4,spectrum 400-450 shake 5s,Spectrum,E2,0.9791,430,NA,NA
24.4,spectrum 400-450 shake 5s,Spectrum,E2,0.9938,420,NA,NA
24.4,spectrum 400-450 shake 5s,Spectrum,E2,1.018,410,NA,NA
24.4,spectrum 400-450 shake 5s,Spectrum,E2,1.0451,400,NA,NA
24.4,spectrum 400-450 shake 5s,Spectrum,F1,0.6066,450,NA,NA
24.4,spectrum 400-450 shake 5s,Spectrum,F1,0.6167,440,NA,NA
24.4,spectrum 400-450 shake 5s,Spectrum,F1,0.6308,430,NA,NA
24.4,spectrum 400-450 shake 5s,Spectrum,F1,0.6428,420,NA,NA
24.4,spectrum 400-450 shake 5s,Spectrum,F1,0.6607,410,NA,NA
24.4,spectrum 400-450 shake 5s,Spectrum,F1,0.6799,400,NA,NA
24.4,spectrum 400-450 shake 5s,Spectrum,F2,0.6566,450,NA,NA
24.4,spectrum 400-450 shake 5s,Spectrum,F2,0.6649,440,NA,NA
24.4,spectrum 400-450 shake 5s,Spectrum,F2,0.6752,430,NA,NA
24.4,spectrum 400-450 shake 5s,Spectrum,F2,0.6837,420,NA,NA
24.4,spectrum 400-450 shake 5s,Spectrum,F2,0.6977,410,NA,NA
24.4,spectrum 400-450 shake 5s,Spectrum,F2,0.7107,400,NA,NA
24.4,spectrum 400-450 shake 5s,Spectrum,G1,0.4487,450,NA,NA
24.4,spectrum 400-450 shake 5s,Spectrum,G1,0.4586,440,NA,NA
24.4,spectrum 400-450 shake 5s,Spectrum,G1,0.4698,430,NA,NA
24.4,spectrum 400-450 shake 5s,Spectrum,G1,0.4814,420,NA,NA
24.4,spectrum 400-450 shake 5s,Spectrum,G1,0.4996,410,NA,NA
24.4,spectrum 400-450 shake 5s,Spectrum,G1,0.5529,400,NA,NA
24.4,spectrum 400-450 shake 5s,Spectrum,G2,0.6232,450,NA,NA
24.4,spectrum 400-450 shake 5s,Spectrum,G2,0.6375,440,NA,NA
24.4,spectrum 400-450 shake 5s,Spectrum,G2,0.6543,430,NA,NA
24.4,spectrum 400-450 shake 5s,Spectrum,G2,0.6693,420,NA,NA
24.4,spectrum 400-450 shake 5s,Spectrum,G2,0.6909,410,NA,NA
24.4,spectrum 400-450 shake 5s,Spectrum,G2,0.7086,400,NA,NA
24.4,spectrum 400-450 shake 5s,Spectrum,H1,0.5519,450,NA,NA
24.4,spectrum 400-450 shake 5s,Spectrum,H1,0.5644,440,NA,NA
24.4,spectrum 400-450 shake 5s,Spectrum,H1,0.5809,430,NA,NA
24.4,spectrum 400-450 shake 5s,Spectrum,H1,0.5942,420,NA,NA
24.4,spectrum 400-450 shake 5s,Spectrum,H1,0.6125,410,NA,NA
24.4,spectrum 400-450 shake 5s,Spectrum,H1,0.6132,400,NA,NA
24.4,spectrum 400-450 shake 5s,Spectrum,H2,0.6471,450,NA,NA
24.4,spectrum 400-450 shake 5s,Spectrum,H2,0.657,440,NA,NA
24.4,spectrum 400-450 shake 5s,Spectrum,H2,0.6693,430,NA,NA
24.4,spectrum 400-450 shake 5s,Spectrum,H2,0.6786,420,NA,NA
24.4,spectrum 400-450 shake 5s,Spectrum,H2,0.6945,410,NA,NA
24.4,spectrum 400-450 shake 5s,Spectrum,H2,0.7106,400,NA,NA
24.5,kinetic > 1hr,Kinetic,A1,0.5435,412,36:00:00,36
24.5,kinetic > 1hr,Kinetic,A2,0.5082,412,36:00:00,36
24.5,kinetic > 1hr,Kinetic,B1,0.4999,412,36:00:00,36
24.5,kinetic > 1hr,Kinetic,B2,0.7978,412,36:00:00,36
24.5,kinetic > 1hr,Kinetic,C1,0.6122,412,36:00:00,36
24.5,kinetic > 1hr,Kinetic,C2,0.0923,412,36:00:00,36
24.5,kinetic > 1hr,Kinetic,D1,0.5183,412,36:00:00,36
24.5,kinetic > 1hr,Kinetic,D2,0.6146,412,36:00:00,36
24.5,kinetic > 1hr,Kinetic,E1,0.3007,412,36:00:00,36
24.5,kinetic > 1hr,Kinetic,E2,0.4545,412,36:00:00,36
24.5,kinetic > 1hr,Kinetic,F1,0.5932,412,36:00:00,36
24.5,kinetic > 1hr,Kinetic,F2,0.551,412,36:00:00,36
24.5,kinetic > 1hr,Kinetic,G1,0.9616,412,36:00:00,36
24.5,kinetic > 1hr,Kinetic,G2,0.1037,412,36:00:00,36
24.5,kinetic > 1hr,Kinetic,H1,0.3466,412,36:00:00,36
24.5,kinetic > 1hr,Kinetic,H2,0.5995,412,36:00:00,36
24.8,kinetic > 1hr,Kinetic,A1,0.505,412,48:00:00,48
24.8,kinetic > 1hr,Kinetic,A2,0.651,412,48:00:00,48
24.8,kinetic > 1hr,Kinetic,B1,0.539,412,48:00:00,48
24.8,kinetic > 1hr,Kinetic,B2,0.7931,412,48:00:00,48
24.8,kinetic > 1hr,Kinetic,C1,0.6005,412,48:00:00,48
24.8,kinetic > 1hr,Kinetic,C2,0.091,412,48:00:00,48
24.8,kinetic > 1hr,Kinetic,D1,0.5457,412,48:00:00,48
24.8,kinetic > 1hr,Kinetic,D2,0.6308,412,48:00:00,48
24.8,kinetic > 1hr,Kinetic,E1,0.3094,412,48:00:00,48
24.8,kinetic > 1hr,Kinetic,E2,0.3968,412,48:00:00,48
24.8,kinetic > 1hr,Kinetic,F1,0.5913,412,48:00:00,48
24.8,kinetic > 1hr,Kinetic,F2,0.5046,412,48:00:00,48
24.8,kinetic > 1hr,Kinetic,G1,0.889,412,48:00:00,48
24.8,kinetic > 1hr,Kinetic,G2,0.1149,412,48:00:00,48
24.8,kinetic > 1hr,Kinetic,H1,0.3636,412,48:00:00,48
24.8,kinetic > 1hr,Kinetic,H2,0.6182,412,48:00:00,48
25.1,kinetic > 1hr,Kinetic,A1,0.4999,412,1:00:00,60
25.1,kinetic > 1hr,Kinetic,A2,0.6083,412,1:00:00,60
25.1,kinetic > 1hr,Kinetic,B1,0.501,412,1:00:00,60
25.1,kinetic > 1hr,Kinetic,B2,0.7875,412,1:00:00,60
25.1,kinetic > 1hr,Kinetic,C1,0.6021,412,1:00:00,60
25.1,kinetic > 1hr,Kinetic,C2,0.0924,412,1:00:00,60
25.1,kinetic > 1hr,Kinetic,D1,0.6252,412,1:00:00,60
25.1,kinetic > 1hr,Kinetic,D2,0.6102,412,1:00:00,60
25.1,kinetic > 1hr,Kinetic,E1,0.318,412,1:00:00,60
25.1,kinetic > 1hr,Kinetic,E2,0.4392,412,1:00:00,60
25.1,kinetic > 1hr,Kinetic,F1,0.5914,412,1:00:00,60
25.1,kinetic > 1hr,Kinetic,F2,0.5557,412,1:00:00,60
25.1,kinetic > 1hr,Kinetic,G1,1.0338,412,1:00:00,60
25.1,kinetic > 1hr,Kinetic,G2,0.1268,412,1:00:00,60
25.1,kinetic > 1hr,Kinetic,H1,0.3702,412,1:00:00,60
25.1,kinetic > 1hr,Kinetic,H2,0.6199,412,1:00:00,60
